Marie Canyon Green Streets, Winter 2021, August 2021, Not specified, Green infrastructure, Capital Improvement, Design  
PCH Median Improvements Project, Winter 2021, late Summer 2021, Not specified, Roadway improvements, Capital Improvement, Design  
PCH Signal Synchronization System Improvements Project, Fall 2021, August 2021, September 2021, Traffic management, Capital Improvement, Design  
Civic Center Stormwater Diversion Structure, Estimated Summer 2021, Completed, Not specified, Stormwater management, Capital Improvement, Design  
Westward Beach Road Improvements Project, Fall 2021, Spring 2021, Not specified, Roadway improvements, Capital Improvement, Design  
Civic Center Water Treatment Facility Phase 2, March 2022, December 2021, Not specified, Water treatment, Capital Improvement, Design  
City Hall Roof Replacement, Not specified, June 2021, Not specified, Building maintenance, Capital Improvement, Construction  
Bluffs Park Workout Station, Not specified, Completed, Not specified, Recreational facility, Capital Improvement, Construction  
Civic Center Way Improvements, Not specified, June 2021, Not specified, Roadway improvements, Capital Improvement, Construction  
Malibu Park Drainage Improvements, June/July 2021, Not specified, Not specified, Drainage improvements, Capital Improvement, Construction  
2021 Annual Street Maintenance, July 2021, Not specified, Not specified, Street maintenance, Capital Improvement, Construction  
Bluffs Park Shade Structure, Fall 2021, Summer 2021, Not specified, Recreational facility, Capital Improvement, Not Started  
Vehicle Protection Devices, Fall 2021, Summer 2021, Not specified, Safety infrastructure, Capital Improvement, Not Started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Slope stabilization, Capital Improvement, Not Started  
Broad Beach Road Water Quality Infrastructure Repairs, Fall 2021, Summer 2021, Not specified, Water quality, Disaster, Design  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Summer 2021, Spring 2021, Not specified, Roadway/retaining wall, Disaster, Design  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Landscaping, Disaster, Design  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Summer 2021, Not specified, Slope stabilization, Disaster, Design  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Roadway improvements, Disaster, Design  
Outdoor Warning Sirens, Not specified, Unknown, Not specified, Emergency warning system, Disaster, Design  
Guardrail Replacement Citywide, Not specified, Not specified, Not specified, Guardrail replacement, Disaster, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Not specified, Not specified, Bridge repairs, Disaster, Completed  
Corral Canyon Culvert Repairs, Not specified, Not specified, Not specified, Culvert repairs, Disaster, Completed  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Storm drain installation, Disaster, Not Started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021, Not specified, Culvert repairs, Disaster, Not Started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021, Not specified, Drainage improvements, Disaster, Not Started  
Storm Drain Master Plan, Not specified, Spring 2022, Not specified, Storm drain inventory, Disaster, Not Started  
