Marie Canyon Green Streets, Summer 2022, March 2022, Not specified, Green infrastructure, Design, In progress  
PCH Median Improvements Project, Summer 2022, March 2022, Spring/Summer 2022, Roadway improvements, Design, In progress  
PCH Signal Synchronization System Improvements Project, Summer 2022, Spring 2022, Summer 2022, Traffic management, Design, In progress  
Westward Beach Road Improvements Project, Fall/Winter 2022, Summer 2022, Not specified, Roadway improvements, Design, In progress  
Civic Center Water Treatment Facility Phase 2, Spring 2023, December 2021, December 2022, Water treatment, Design, In progress  
Bluffs Park Shade Structure, Spring 2022, February 2022, Not specified, Park amenities, Design, In progress  
Permanent Skate Park, To be determined, Spring 2022, Not specified, Recreational facility, Design, In progress  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Late Spring 2022, Not specified, Roadway improvements, Design, Not started  
Vehicle Protection Devices, Not specified, Not specified, Not specified, Safety infrastructure, Not started, Not started  
Legacy Park Paver Repair Project, Not specified, Not specified, Not specified, Infrastructure repair, Not started, Not started  
Malibu Bluffs Park South Walkway, Not specified, Not specified, Not specified, Infrastructure repair, Not started, Not started  
Trancas Playground Resurfacing, Not specified, Not specified, Not specified, Infrastructure repair, Not started, Not started  
PCH Median Improvements at Paradise Cove and Zuma Beach, Not specified, Not specified, Not specified, Roadway improvements, Not started, Not started  
Civic Center Way Improvements, Not specified, Not specified, Not specified, Roadway improvements, Completed, Completed  
Civic Center Stormwater Diversion Structure, Not specified, Not specified, Not specified, Stormwater management, Completed, Completed  
2021 Annual Street Maintenance, Not specified, Not specified, Not specified, Roadway maintenance, Completed, Completed  
Broad Beach Road Water Quality Infrastructure Repairs, Summer 2022, March 2022, Spring 2022, Water quality, Design, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Spring 2022, April 2022, Spring 2022, Roadway improvements, Design, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Summer 2022, Spring 2022, Not specified, Landscaping, Design, In progress  
Trancas Canyon Park Slope Stabilization Project, Summer 2022, Spring 2022, Not specified, Slope stabilization, Design, In progress  
Storm Drain Master Plan, Spring 2022, Not specified, Not specified, Stormwater management, Design, In progress  
Corral Canyon Road Bridge Repairs, Not specified, Not specified, Not specified, Bridge repair, Design, Not started  
Clover Heights Storm Drain, Not specified, Not specified, Not specified, Stormwater management, Design, Not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, March 2022, Not specified, Stormwater management, Design, In progress  
Encinal Canyon Road Drainage Improvements, Not specified, Spring 2022, Not specified, Stormwater management, Design, In progress  
Malibu Road Slope Repairs, Fall 2022, Spring 2022, Not specified, Slope stabilization, Design, In progress  
Westward Beach Road Shoulder Repairs, Fall 2022, July 2022, Not specified, Roadway improvements, Design, In progress  
Outdoor Warning Sirens - Design, Not specified, Not specified, Not specified, Emergency management, Design, In progress  
Citywide Guardrail Replacement, Not specified, Not specified, Not specified, Safety infrastructure, Completed, Completed  
Malibu Park Storm Drain Repairs, Not specified, Not specified, Not specified, Stormwater management, Completed, Completed  
Corral Canyon Culvert Repairs, Not specified, Not specified, Not specified, Stormwater management, Cancelled, Cancelled  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Roadway improvements, Completed, Completed  
