Marie Canyon Green Streets, Winter 2021, May 2021, Not specified, Green infrastructure, Capital Improvement, In progress  
PCH Median Improvements Project, Fall 2021, Spring 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, September 2021, May 2021, July 2021, Traffic management, Capital Improvement, In progress  
Civic Center Stormwater Diversion Structure, Summer 2021, Completed, Not specified, Stormwater management, Capital Improvement, In progress  
Westward Beach Road Improvements Project, Fall 2021, Spring 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, March 2022, December 2021, Not specified, Water treatment, Capital Improvement, In progress  
Malibu Park Drainage Improvements, June/July 2021, March 2021, Not specified, Drainage improvements, Capital Improvement, In progress  
Annual Street Maintenance, Summer 2021, Spring 2021, Not specified, Street maintenance, Capital Improvement, In progress  
City Hall Roof Replacement, May 2021, July 2021, Not specified, Roof replacement, Capital Improvement, In progress  
Bluffs Park Workout Station, Not specified, April 2021, Not specified, Workout equipment installation, Capital Improvement, Completed  
Civic Center Way Improvements, August 2020, April 2021, Not specified, Roadway improvements, Capital Improvement, Completed  
Bluffs Park Shade Structure, Fall 2021, Summer 2021, Not specified, Shade structure installation, Capital Improvement, Not started  
Vehicle Protection Devices, Fall 2021, Summer 2021, Not specified, Safety installations, Capital Improvement, Not started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Slope repairs, Capital Improvement, Not started  
Broad Beach Road Water Quality Infrastructure Repairs, Fall 2021, Summer 2021, Not specified, Water quality improvements, Disaster Project, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Summer 2021, Spring 2021, Not specified, Roadway and retaining wall improvements, Disaster Project, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Planting and irrigation repairs, Disaster Project, In progress  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Summer 2021, Not specified, Slope stabilization, Disaster Project, In progress  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Roadway improvements, Disaster Project, In progress  
Outdoor Warning Sirens, Unknown, Not specified, Not specified, Warning system installation, Disaster Project, In progress  
Guardrail Replacement Citywide, Not specified, Not specified, Not specified, Guardrail replacement, Disaster Project, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Not specified, Not specified, Bridge repairs, Disaster Project, Completed  
Corral Canyon Culvert Repairs, Not specified, Not specified, Not specified, Culvert repairs, Disaster Project, Completed  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Storm drain installation, Disaster Project, Not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021, Not specified, Culvert repairs, Disaster Project, Not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021, Not specified, Drainage improvements, Disaster Project, Not started  
Storm Drain Master Plan, Spring 2022, Not specified, Not specified, Storm drain inventory, Disaster Project, Not started  
